,Position,Company,City,State.Name,Job.Description,Employment.Type,Education.Required
62343,Teacher - La Petite Academy - (13494BR),"Learning Care Group, Inc.",Tulsa,Oklahoma,"The La Petite Academy located at 1950 S 131 East Avenue, Tulsa, OK, 74108 is currently hiring a Teacher.
Responsibilities include: Join our talented team, where we inspire children to be lifelong learners! Through our play based curriculum, our affectionate and loving staff ensures that our children are imparted with the knowledge to succeed.
Our Teachers...

    Are caring, compassionate and love what they do!
    Ensure the daily care of every child by following all licensing guidelines and implementing all company standards.
    Communicate directly with parents and prospective parents to achieve success for the child.
    Maintain a fun and interactive classroom that is clean and organized.
    Have countless advancement opportunities through our on-going training and expansive network of centers and brands.
    Are rewarded with hugs from children and praise from parents every day!

We are looking for candidates that are as passionate about the growth and development of the precious children in our care as we are. We are most interested in talking to applicants that have:

    A CDA or CCP and 1 year experience working in a licensed childcare facility OR
    6 ECE credits hours and 6 months experience working in a licensed childcare facility OR
    3 ECE credit hours and 1 year experience working in a licensed childcare facility
    Must be at least 18 years of age

To submit your application for this job, please go to: http://www.learningcaregroup.com/careers/overview/
Headquartered in Novi, Michigan, Learning Care Group Inc. is the second-largest for-profit child care provider in North America. An international leader in child education and family solutions, we provide early education and care services to children between the age of six weeks and 12 years under our five unique brands. 
In total, Learning Care Group operates more than 900 corporate and franchise schools across the country and around the world- each devoted to providing a safe and stimulating environment that will inspire a lifelong love of learning. 
&nbsp;",Part-Time,High School Diploma
53907,Medical Billing Specialist,Accountemps,Warren,Michigan,"Ref ID:02250-117557Classification:Accounting - MedicalCompensation:$13.50 to $15.50 per hourMedical Billing/Customer Service/Call Center As the Medical Biller/Customer Service Rep. You will be responsible for answering inbound calls from various hospital client sites regarding billing questions. You will also be gathering and entering patient information, or referring the patent to the appropriate contact. This position requires a flexible schedule, 40 hours a work, with shifts varying between 8am and 8pm. This is a temporary opportunity that could turn into full-time for the right candidate.",Seasonal/Temp,Not Specified
1175,State Tested Nursing Assistant / STNA,Wadsworth Pointe,Wadsworth,Ohio,"
 State Tested Nursing Assistants / STNA 

Saber Healthcare Group, a leading long-term care provider, is looking for an STNA’s at Wadsworth Pointe. It is Saber’s mission to provide the highest quality of care possible to all those we are privileged to serve. This entails a continuing commitment to always maintain the highest standards. It is through our tradition of caring and our innovation for the future that our goal of being the best is realized.
  
Your responsibilities as a State Tested Nursing Assistant will include maintaining standards of care and services to our residents and develop and maintain positive resident and family relationships.",Full-Time/Part-Time,Not Specified
46453,Customer Service Representative,OfficeTeam,Grand Rapids,Michigan,Ref ID: 02220-111417Classification: Customer ServiceCompensation: $11.88 to $13.75 per hourAre you looking to start a career with a fast growing company here in the Grand Rapids area? Are you Bilingual in Spanish and have experience in Customer Service? Our client is looking for an individual to join their Customer Service Team. This person will be taking incoming calls from clients answering and clarifying question about the company and company products. Will assist clients with their online usage of company products along with trouble shoot user issues with company system. Other Administrative Duties as needed.,Seasonal/Temp,Not Specified
48075,Retail Sales Associate / Photographer,J. C. Penney Portrait Studios,Mount Juliet,Tennessee,"
Have a passion for sales and photography?&nbsp; 
Picture yourself here&hellip;
Join the JCPenney portraits team as a photographer &amp; sales professional.&nbsp; We&rsquo;ll teach you everything you&rsquo;ll need to know.&nbsp; If you enjoy working with infants, children and adults and have a passion for customer service this could be the job for you.&nbsp;&nbsp; 
Position summary: 
Team Members perform an important role in the studio&rsquo;s ability to achieve results and grow by providing remarkable customer service throughout the photographic, sales and portrait delivery experience. Following Camera Room Expectations and Posing Guidelines, you capture portraits to maximize the sales average and exceed the customer&rsquo;s expectations.

&nbsp;",Part-Time,Not Specified
46178,Part Time Retail Merchandiser,Driveline Retail,Rogers,Arkansas,"Driveline is currently
seeking motivated and career-minded candidates to join its national network of
retail merchandisers. We owe our continued success to the hard working,
intelligent and innovative people who implement our retail programs every day. If
you're interested in joining the team and helping our clients drive sales, then
we'd love to hear from you.
About
Driveline:
&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Driveline is the
largest non-broker merchandising services agency in the country
&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Our clients
include major national retailers and manufacturers
&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Our
industry-leading software makes your job easier and makes it easier than ever
to manage your own schedule and report hours
&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
We offer full W-2
employment, meaning no surprise tax bills from 1099 forms
&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
We offer
competitive wages and opportunities for advancement (reimbursement is also
available for travel more than 60 miles in one day)
Desired experience/skills:
&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
1-2 years
merchandising or retail experience
&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Outstanding
customer service skills
&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Ability to work
both independently and as part of a team
&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Ability to read
standard plan-o-grams and execute merchandise resets
&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Ability to lift
up to 30 pounds and bend/stoop/stand for more than 45 minutes
Requirements:
&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Reliable
transportation
&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Ability to
maintain a professional appearance
&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Computer access with
printer/Internet/email
&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Ability to report
completed work on the day of service
Want to learn more or apply now?

Go to www.drivelineretail.com, click on the &ldquo;Apply Now"" button in the top,
right-hand corner of the page and complete an application. Our recruiters will
handle the rest!
We look forward to meeting
you. 
-OR-
APPLY NOW BY CLICKING BELOW
http://www.retailgis.com/rgis_portal/x_driveline_employment_application.htx?territory_id_no=0
&nbsp;",Part-Time,High School Diploma
52715,"Retail Professional Security Officer - CHICAGO, IL 60620 (CHATHAM)",Universal Protection Service,Chicago,Illinois,"LOCATION: CHICAGO, IL 60620 (CHATHAM NEIGHBORHOOD) SHIFT TYPE: FULL/PART-TIME SHIFT HOURS: VARIES, MUST BE ABLE TO WORK NIGHTS, OVERNIGHTS, WEEKENDS, AND HOLIDAYS PAY: $11.00 HR  Universal Protection Service, the leader in security opportunities, invites you to apply today to be one of our dynamic Professional Security Officers. At Universal Protection Service, our vision is to be exceptional---to maintain exceptional people, to provide exceptional service, and to create exceptional results. Universal Protection Service seeks passionate applicants who love working with people.The ideal candidate for the Professional Security Officer position is excellent with customers and has an impressive ability to communicate. This is a great opportunity to join Universal Protection Service, a dynamic high-powered security team focused on securing client properties while delivering exceptional customer service. Universal Protection Service proudly supports the 100,000 Jobs Mission, a group of leading U.S. companies whose goal is to collectively hire 100,000 transitioning service members and military veterans by 2020.The successful Professional Security Officer candidate is responsible for providing security services at assigned locations. Duties include, but are not limited to:Foot, bike or golf cart patrol of interior and exterior areas of assigned locationsExecute security services as outlined in site-specific Post orders and directed by Security ManagementObserve and report suspicious activities and personsWrite detailed narrative reports and maintain daily activity reports (DARs)Enforce rules, regulations, policies, procedures, and respond to emergency situations requiring security assistance",Part-Time,High School Diploma
41470,Accounting Associate I - Great Opportunity!,Accountemps,Meridian,Idaho,"Ref ID:03590-9736556Classification:Accountant - Entry LevelCompensation:$12.00 to $14.50 per hourAccountemps is currently recruiting for on-going opportunities for a prestigious client in Boise, as an Accounting Associate I. Duties include assisting in accounts payable and receivable, running reports, and helping with bank reconciliations. Additional tasks include data entry, filing, and other accounting tasks, as assigned. They will train you in all of the above ground up! Basic Qualifications: Degree in Accounting, Finance or Business",Seasonal/Temp,Not Specified
8092,RN/  Emergency Department/ Per Diem / Varied Hrs as Needed,HCA-Capital DIvision,Derry,New Hampshire,"JOB DESCRIPTION    Position:  Registered Nurse Emergency Department The Emergency Department nurse is expected to assist in providing total care of the patient before, during and after treatment.  This includes providing physical, emotional, spiritual and cultural support while providing necessary equipment and supplies for all emergency procedures.  Cases may range from the very minor to the mortally ill or traumatized.  Nurses will be proficient in triaging according to the Emergency Nursing Association triage category systems and maintain excellent assessment and reassessment to determine the response to medications and treatments.  The Emergency Department nurse is expected to work well as a team member, be flexible and able to process much information quickly and correctly and to develop a care plan to meet the emergent needs of the patient and family..Basic Function:  Delivery of age-specific, direct patient carePRACTICE STANDARDS/ESSENTIAL DUTIES:  1. Incorporates appropriate assessment and intervention skills in all interactions and delivery of nursing care. • Assessment; intervention skills; evaluation; and equipment use/management. 2. Communicates with patients, team members, and management in an accurate, timely manner. •  Talks with, listens to patients/team members; reports pertinent, concise information; documents in a complete, timely manner; appropriately uses computer charting/ordering; protects confidentiality of patient/colleagues. 3. Applies critical thinking skills and considers alternatives.• Organizes multitask workload; prioritizes tasks/work; seeks assistance; collects/integrates data from multiple sources; organizes/delivers care for multiple patient assignment. 4. Develops and maintains human care relationships. • Acknowledges the impact illness/hospitalization has on patients and families; recognizes the importance of teamwork among care providers; adapts care management for diverse populations and environments; advocates for needs of clients; provides care in ethical and legal manner; refers concerns/issues to appropriate resources.5. Manages self and resources effectively. • Acknowledges limits of experience and capability and requests assistance appropriately; identifies learning needs and seeks resources; utilizes equipment and supplies appropriately; maintains clean, orderly environment of care; ensures traffic control in “sensitive areas”; seeks out and accepts feedback.6. Applies leadership skills.• Verbalizes scope of practice for self and others; interacts with others in professional manner; manages conflict; delegates and assigns care; coordinates care within multi-disciplinary team.7. Incorporates teaching in delivery of care with a focus on heath promotion. • Provides information to patient; assesses for barriers to learning; uses colleagues as a resource as appropriate; provides counseling about health behaviors, supports the preceptor model.8. Applies knowledge of the patient populations served within unit/area of hire. • Provides age-specific care; applies knowledge of expected norms in planning care (i.e., VS, lab values, assessment, etc); applies new data to improve care; integrates technical, psychological, social, intellectual, and physical skills. 9. Demonstrates the unit-specific skills required for assigned role and service area.  Maintains other required competencies based on high-risk/low-volume/problem-prone areas. 10. Meets Parkland Medical Center standards related to: • Patient Safety: reports actual or potential medical/health care errors, near-misses or other opportunities to improve patient safety.  Participates in safety education, safety, quality and performance improvement initiatives.• Customer Service/Patient Centered Care: shows genuine concern, respect, and ability to communicate cordially with patients, visitors, physicians, and other employees; is sensitive to customer inconveniences and responds accordingly.• Confidentiality, compliance, patient/provider rights.  Adheres to corporate and professional codes of conduct, Standards of Excellence, HIPAA privacy standards.• Attendance, punctuality, meetings - Participates in continuing education programs & mandatory education to maintain competence and gain additional skills & documents attendance.  Annual absenteeism will not exceed HR standards, attends at least 50% of staff meetings, reads communications.11. Identifies personal learning needs based on performance, sets goals for the next 12 months. Meets goals established previously.",Per Diem,Bachelor's Degree
21920,Bookkeeper/Office Manager needed for Construction firm,Accountemps,San Mateo,California,"Ref ID:00430-9732862Classification:BookkeeperCompensation:$18.00 to $25.00 per hourAccountemps, a Robert Half company, is the world's leading search firm specializing in the placement of highly skilled Accounting & Finance professionals on a temporary and temporary to full-time basis. We are partnered with an established construction firm in the peninsula that is seeking a Bookkeeper/Office Manager to join their firm. If you enjoy coming up with new processes and working with a team oriented organization, then this is the opportunity for you! This is an immediate opportunity that can start as soon as this week, dont miss out! For immediate consideration, send your updated resume as a Word document to Kassandra Chuh at [Click Here to Email Your Resumé]. What will you do?: - Manage the billing and payroll process - Manage Invoices - Answer phones and direct calls - Respond to e-mails - Provide direct support to office staff and CEO - Help manage day-to-day office operations and provide support to other members of the team as needed",Seasonal/Temp,Not Specified
71923,LPN Charge Nurse / Skilled Nursing (Nights),Bishop Spencer Place,Kansas City,Missouri,"Bishop Spencer Place is seeking an experienced LPN Charge Nurse to work the NIGHT SHIFT in our skilled nursing and rehabilitation center.  This is a PRN position with potential for full-time.  This is a 12-hour shift (6:30 pm to 7:00 am).

Bishop Spencer Place is located in the heart of Kansas City between the Plaza and Westport. We are a faith-based community closely affiliated with the Episcopal Diocese of West Missouri and are privileged to be part of the Saint Luke’s Hospital network of providers. Bishop Spencer Place was named the best retirement community in Kansas City in 2010, 2011, and 2012, and one of Kansas City’s Best Places to Work in 2011 and 2013 by Ingram's Magazine!
 
Our LPN's provide direct nursing care to residents and supervise the day-to-day nursing activities performed by CNA's.  Specific job responsibilities include, but are not limited to:
 

    Meeting with assigned nursing personnel to plan the shifts' services, programs, and activities.  Overseeing the activity of assigned nursing assistants.
    Administration of professional nursing services and medication to residents.  Ensuring residents receive services in accordance with their care plan.
    Assisting with new admissions and discharges. 
    Consulting with residents, family members, and physicians in planning the resident’s care, treatment, and rehabilitation. 
    Visiting residents to observe and evaluate their physical and emotional status. 
    Notifying the resident’s attending physician and next-of-kin when there is a change in the resident’s condition. 
    Reporting problem areas to the RN Supervisor.  
",Per Diem,Not Specified
5591,Seasonal CSR,David's Bridal,Johnson City,Tennessee,"We are hiring for our upcoming busy season! Interviewing the next two weeks!David’s Bridal, the largest and most successful bridal retailer in the country, has grown to over 325 stores nationwide, and more stores continue to open all the time! We currently have a position available support the store as a Seasonal Customer Service Representative.  If you are interested in the following position, please apply immediately for consideration.The Seasonal CSR is responsible for providing professional and unsurpassed customer service to each our David's Bridal customers.  The Seasonal CSR provides information about David's Bridal products and services and responds to all customer inquiries.  A Seasonal CSR demonstrates our culture of trust, fairness, integrity, and accountability in accordance with David’s Bridal’s Core Values.We are looking for top-notch Seasonal CSR's who enjoy the hustle and bustle of a fast-paced environment.  If you would like to work in a positive professional environment, we would love to speak to you.If you are interested in working in our stores, please allow time for our online application process. This can only be completed on a laptop or desktop computer; currently the application cannot be completed on a mobile device.Would you love making her dream come true.  We popped the question - won't you say 'I do'!Part TimeHourly Rate",Part-Time,High School Diploma
42881,Product Placement Specialist- Part Time,Northern Tool,Tulsa,Oklahoma,"	PRIMARY OBJECTIVE OF POSITION:	To keep the retail store properly stocked by unloading product deliveries in a timely manner and moving product to the sales floor in compliance with approved store plan-o-grams and floor layouts.	MAJOR AREAS OF ACCOUNTABILITY:	Maintains a consistent and adequate stock of products on the sales floor and warehouse shelves in a neat, consistent and orderly condition.	Assembles products for displays and customers as needed.	Arranges displays to coordinate with sales promotions and the season and makes plan-o-gram (POG) revisions as directed. 	Downstocks, faces and fronts all merchandise according to Company merchandising standards.	Assists customers in a professional and courteous manner, as needed, such as getting merchandise for them and helping load heavier items. 	Receives product in the store warehouse from the Company’s distribution centers or directly from vendors. Records and notifies Product Placement Lead of any issues.	Completes required paperwork in an accurate and timely manner.	Remains informed on all new and existing products and Merchandise programs.	Reports any witnessed inappropriate activity or theft immediately to manager on duty.	Follows Company approved Customer Service Standards.	Keeps supervisor informed of important information developments, potential problems and related information necessary for effective management.	Performs related work as apparent or assigned.",Part-Time,Not Specified
34752,Payroll Administrator Needed to Start This Week!,Accountemps,Oberlin,Ohio,"Ref ID:03390-106319Classification:Payroll ProcessorCompensation:$14.00 to $16.00 per hourAccountemps is currently seeking a Payroll Administrator for a opportunity located in Oberlin, Ohio. In this role, the ideal Payroll Administrator will be responsible for completing all payroll processing steps, monitoring employee leave/disability status and adjusting pay accordingly. In addition, the Payroll Administrator will be responsible for reconciling all taxes, garnishments and other liabilities before payroll is completed each pay, reviewing and updating annual leave balances and accruals and entering and processing payroll/benefit adjustments as necessary.",Seasonal/Temp,Not Specified
77032,"Retail Commission Sales - Women's Shoes, Part Time:  McLean, VA, Macy's Tyson's Galleria",Macy's,McLean,Virginia,"JOB OVERVIEW

The Draw vs. Commission Sales Associate is responsible for providing outstanding customer service, meeting hourly sales and Star Rewards goals on a personal and departmental basis, and demonstrating superior product knowledge to customers. To create a shopping experience that will make the customer feel welcome and comfortable. Performs other duties as assigned.

The summary below may not include all the essential functions and qualifications for this position. For more information, we encourage you to review the complete job description by clicking here.

ESSENTIAL FUNCTIONS


Assist customers in all aspects of service fulfillment by demonstrating proficient use of proprietary devices and applications; proactively create enhanced shopping experiences through the heightened use of tools, technology and collaboration
Handle more difficult customer requests
Develop extensive product knowledge by reading current vendor tags and pamphlets
Attend additional training classes in order to communicate product benefits to the customer
Be aware of back stock and fill as needed
Be aware of current promotional events and sales
Regular, dependable attendance and punctuality



QUALIFICATIONS

Education/Experience: No specific educational accomplishment is required.

At least six months to one year of previous selling

experience is required.

Communication Skills: Effective written and verbal skills, ability to interpret

instructional documents such as safety rules,

operating and maintenance instructions, and

procedure manuals. Excellent written and verbal

communication skills.

Mathematical Skills: Basic math functions such as addition, subtraction,

multiplication, and division. Able to use a calculator.

Other skills: Must be able to function as part of a team. Possess

a strong sense of urgency. Must enjoy meeting and

interacting with customers. Possess a thirst for

learning. Ability to collaborate and function as a

member of a team. Must possess a strong sense of

urgency. Should be comfortable with the use of

computers and frequent use of RF equipment.

Work Hours: Flexible with scheduling and available to work retail

hours, which may include day, evening, weekends,

and/or holidays.

This job description is not all inclusive. In addition, Macy's, Inc. reserves the right to amend this job description at any time. Macy's, Inc. is an Equal

Opportunity Employer, committed to a diverse and inclusive work environment.",Part-Time,Not Specified
3439,Environmental Services Associate,Connecticut Children's Medical Center,Hartford,Connecticut,"Performs environmental service functions in departments and common and public areas of the hospital.Performs duties to ensure the cleanliness of  offices, public areas, stairwells, elevators and corridors and call rooms.  Collects trash, recyclables, medial waste, exchanges sharps boxes and leaves in central location. Collects trash outside and disposes of it properly.  Polices grounds for debris. Assists with snow removal as needed. Vacuums and shampoos carpets and strips, waxes, buffs hard floors in all general areas. Performs general operational maintenance duties to equipment, i.e.: changes vacuum belts and bags, checks electrical cords for cuts, replaces light bulbs, etc.  Identifies maintenance needs and reports deficiencies to the Resource Center. Performs discharge cleaning of patient and family sleep rooms as necessary. Willing to interact with co-workers in a team atmosphere in order to help find a better way to perform job. Attends all department/hospital in-service orientation and other meetings as required. Responds to all non-routine situations as paged.   Delivers any food items from kitchen to appropriate destination. Displays polite, spirit-of-service attitude towards customers and co-workers.  Maintains friendly, efficient and responsive attitude toward customer’s students while performing job duties. Complies with Aramark Best Practices when performing all cleaning tasks.  Complies with all requirements of Federal, State and local regulations and guidelines.  Safely uses chemicals and cleaning agents.  Follows MSDS guidelines and precautions.  Maintains established ARAMARK and CT Children's policies, procedures and objectives for quality job duties. Moves furniture and performs conference room set-ups. Performs other related duties as required. Demonstrates knowledge of the age-related differences and needs of patients in appropriate, specific populations from neonate through adolescence and applies them to practice.   Demonstrates cultural sensitivity in all interactions with patients/families. Demonstrates support for the mission, values and goals of the organization through behaviors that are consistent with the CT Children's Standards.",Part-Time,High School Diploma
50769,Customer Service Specialist,Accountemps,Los Osos,California,Ref ID:01260-120079Classification:Accounting ClerkCompensation:DOESan Luis Obispo County financial company is seeking a customer service representative for a part-time position. Duties will include answering customer inquiries via phone. Must have a minimum of 1 year experience working in customer service type of role. Banking or financial background is preferred. Intermediate Word and Excel skills are a must.,Seasonal/Temp,Not Specified
40507,Sales / Customer Service,"Artsmarketing Services, Inc.",Detroit,Michigan,"
Sales / Customer Service

Job Description:
Be a part of The Detroit Symphony Orchestra Annual Fund Campaign!! Immediate Hire &ndash; Part Time / Evening Positions &ndash; Fund Raising Campaign &ndash; Sales / Customer Service &ndash; Hourly + Commission.
&nbsp;&nbsp;
At the DSO we are committed to introduce Classical Music to the Detroit Metro community. We have children educational programs, hospital programs and senior center outreach to bring classical music to all segments of the Detroit metro area, making a true difference in Detroit! You will be joining energetic individuals reaching out to the DSO patrons to bring out the word about our outreach programs and start or renew their donations for our Non-Profit organization.
&nbsp;&nbsp;
After years of successfully running our Annual Fund Campaign, we are in need of experienced Sales and Customer Service people to complete our team and raise funds to continue our outreach programs.

&nbsp;&nbsp;",Part-Time,Not Specified
32112,Accounts Reveivable Clerk,Accountemps,Jacksonville,Florida,"Ref ID:01120-9734426Classification:Accounts Receivable ClerkCompensation:$12.00 to $15.00 per hourAccountemps has multiple opportunities for Accounts Receivable Clerks in Jacksonville. Responsibilities of the Accounts Receivable Clerk will include the following: -researching cash receipts, coding and posting of receipts. -prepares daily bank deposit -updating and reconciling sub-ledger to the general ledger -maintaining cash applications, account reconciliations and chargebacks Candidates for these Accounts Receivable roles should have at least 2 years of related experience, strong communication and customer service skills, as well as knowledge of Excel.",Seasonal/Temp,Not Specified
36104,Receiving/Stock Associate,Carson's,Bourbonnais,Illinois,"



Do you like moving at a fast pace and want to be a part of the retail world? Would you prefer behind the scenes work? If so, this is the right job for you!Join our team of associates responsible for unloading trailers and processing new merchandise. Receiving/Stock Associates are also required to process outgoing packages, do some heavy lifting, light maintenance and support the selling floor associates. Our Receiving/Stock Associates demonstrate the desire to deliver customer service by the execution of store support tasks. We’ll value your:Great organizational skillsAbility to do heavy lifting as needed Exceptional time management skillsAbility to work a flexible schedule - early mornings and late evenings as neededAt Bon-Ton, we want to give back to our associates. We offer competitive pay, great associate discount, 401k plan (once eligible) – including potential company match and great volunteer opportunities. 



",Part-Time,Not Specified
243,Collector 1 - Part-time,Wells Fargo,Salt Lake City,Utah,"Wells Fargo's Consumer Lending Group (CLG) is an industry leader in supporting homeowners and consumers. We put customers at the center of all that we do. We make every decision - and design every product and service - with our customers in mind.It starts with you. We must attract, develop, retain and motivate the most talented people - those who care and who work together as partners across business units and functions.  We value and promote diversity and inclusion in every aspect of our business and at every level of our organization.The CLG team includes Home Lending, Consumer Credit Card, Personal Loans and Lines, Direct Auto, Dealer Services, Commercial Auto, Retail Services and Education Financial Services including the professional services teams that partner with these businesses - Human Resources, Finance, Credit Risk, and Compliance & Operational Risk.Our Consumer Credit Solutions (CCS) Collections and Servicing team works with past-due customers to offer solutions for bringing credit card, student loan, personal line and loan, direct auto, retail services and deposit accounts up-to-date. The group also provides customer service for student loan and retail services accounts and works with customers to resolve disputed charges on credit card accounts.Do you like helping people find solutions and solving their problems? Wells Fargo Consumer Credit Solutions is seeking candidates who have excellent problem solving and communication skills to work as Collection Representatives.In our paid training program, you will:Learn about State and Federal regulations governing collection practices.Become knowledgeable of how to interpret and document information from various sources within the company's computer systems company products, services, policies and procedures along with operating systems and how to apply this knowledge when communicating with delinquent customers.The working environment is professional, fun, and energized with a casual dress code.Additionally, you will be working in a call center which requires a very structured work day. As part of this role your calls will be monitored for quality and accuracy.Duties include:Uses auto-dial system to initiate customer contact and determine reason for delinquency.Evaluates customers' financial situations and negotiates terms of repayment to bring account current. May be responsible for skip tracing and/ or collateral analysis.Refers more complex issues to higher level Collections staff. Wells Fargo team members enjoy our inclusive work environment, professional development opportunities, the power to achieve personal financial success, and a unique corporate culture that strives to make life more rewarding both inside and outside of work.We have two part-time schedules available:The first one is: Sunday 7:00 a.m. to 11:00 a.m. and Monday through Thursday 5:00 p.m. through 9:00 p.m. The second one is: Saturday 7:00 a.m. to 11:00 a.m., Tuesday through Thursday 5:00 p.m. through 9:00 p.m., and Friday 2:00 p.m. through 6:00 p.m. Training hours are: Monday through Friday 7:00 a.m. to 3:30 p.m. for the first 5 weeks.Expected start date is: 1/12/2015.A career fair will be held at 5201 Amelia Earhart Drive, Salt lake City, UT from 10:00 a.m. to 6:00 p.m. on Tuesday, December 16, 2014.Please bring picture ID and a copy of your resume.",Part-Time,Not Specified
53202,Administrative Assistant,OfficeTeam,Irvine,California,"Ref ID: 00350-142069Classification: Secretary/Admin AsstCompensation: $15.00 to $19.00 per hourOfficeTeam is currently partnering with an insurance wholesaler in Orange County. We are seeking an Administrative Assistant to provide some Administrative support along with issuing and reviewing policies. In order to be considered for this Administrative Assistant opportunity, you must be open-minded, adaptable to change and possess a sense of urgency. The ideal candidate must be very tech and computer-savvy as you will be learning and utilizing 7+ different computer programs utilized by different carriers. In order to be considered immediately for this Administrative Assistant opportunity, please apply directly on OfficeTeam.com!",Seasonal/Temp,Not Specified
79072,"Retail Cosmetics Sales - Beauty Advisor Origins, Part Time: Roseville, MN, Macy’s Rosedale Center",Macy's,Roseville,Minnesota,"JOB OVERVIEW

With a role in the Macy's Cosmetics Department, you will have the opportunity to help others look their best every day. You'll make one-on-one connections with customers to learn their sense of beauty and style, develop your artistic side through customer consultation and make-up and product application, and attain a sense of accomplishment when your skills combine with your passion for beauty to reach personal and team sales goals. Previous cosmetics experience is nice to have, but is not required to begin a career in beauty at Macy's. Performs other duties as assigned.

The summary below may not include all the essential functions and qualifications for this position. For more information, we encourage you to review the complete job description by clicking here.

ESSENTIAL FUNCTIONS


Assist customers in all aspects of service fulfillment by demonstrating proficient use of proprietary devices and applications; proactively create enhanced shopping experiences through the heightened use of tools, technology and collaboration
Partner with Sales Manager and Counter Manager to identify business driving opportunities and stock needs
Develop a repeat-business customer base in order to regularly communicate: upcoming events, new merchandise receipts and product replenishment to increase incremental sales
Participate in pre-selling and sales driving events as well as processing of new receipts, damages, testers, and return to vendors (RTVs)
Attend product training classes and seminars
Regular, dependable attendance & punctuality



QUALIFICATIONS

Education /Experience

High school diploma or equivalent. Previous cosmetic or fragrance sales experience a plus

Communication Skills

Ability to read, write, and interpret labels including warnings and ingredient lists on products. Ability to effectively communicate with and present information to customers, vendors, buyers, peers, and all levels of management

Mathematical Skills

Basic math functions such as addition, subtraction, multiplication, and division. Able to use a calculator. Must be able to calculate percentages and ratios. Must be able to make change using American Monetary units.

Other Skills

Superior organizational and time management skills. Must be able to build relationships and influence others. Ability to set and achieve goals. Ability to multi-task in a fast-paced environment. Must possess a strong sense of urgency and a thirst for knowledge. Must be able to lead by example.

Work Hours

Ability to work a flexible schedule including days, nights, weekends, holidays, and sales events,

based on department and store/company needs.

This job description is not all inclusive. In addition, Macy's, Inc. reserves the right to amend this job description at any time. Macy's, Inc. is an Equal

Opportunity Employer, committed to a diverse and inclusive work environment.",Part-Time,Not Specified
52588,Medical Scribe,Scrivas,Miami,Florida,"&nbsp;
Scrivas Medical Scribe Job Posting
&nbsp;
Job Description
&nbsp;
A medical scribe's primary duties are to follow physicians through his or her workday and chart patient encounters in real-time using a medical practice&rsquo;s electronic health record, usually with existing templates. Medical scribes may also generate referral letters for physicians, manage and sort medical documents within the EHR system, and assist with e-prescribing. 
&nbsp;
Medical scribes can be thought of as data care managers, enabling physicians to focus on patient care, most commonly in an emergency room or office setting. Medical scribes, by handling data management tasks for physicians in real-time, free the physician to increase patient contact time, give more thought to complex cases, better manage patient flow through the department, and increase productivity to see more patients.
&nbsp;
Healthcare providers employ medical scribes to reduce time spent performing data entry and other administrative tasks, which can increase physician fatigue and dissatisfaction.

Responsibilities

    Records details of chief complaint, history of present illness, review of systems, past medical history, social history, family medical history, disease risk factors, medications and allergies


    Records details of physical exam, including pertinent positives and negatives, noted abnormalities and patient general condition.
    Records the orders as desired by medical provider and checks constantly for results of those orders.
    If orders are not completed in a timely fashion or if results are incomplete, troubleshoots for causes and solutions.
    Assists in disposition of patient, whether discharged or admitted, including discharge instructions, admission orders, and prescription forms
    Ensures compliance with EMR-required measured data, such as Meaningful Use criteria and Medical Decision Making


",Full-Time/Part-Time,High School Diploma
